Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
7,Usat. Milers d'euros,Horta-Guinardó,1,la Clota,--,42,188,2022
7,Usat. Milers d'euros,Horta-Guinardó,1,Horta,236.1,43,189,2022
8,Usat. Milers d'euros,Nou Barris,1,Vilapicina i la Torre Llobeta,207.9,44,190,2022
8,Usat. Milers d'euros,Nou Barris,1,Porta,235.6,45,191,2022
8,Usat. Milers d'euros,Nou Barris,1,el Turó de la Peira,126.3,46,192,2022
8,Usat. Milers d'euros,Nou Barris,1,Can Peguera,--,47,193,2022
8,Usat. Milers d'euros,Nou Barris,1,la Guineueta,225.6,48,194,2022
8,Usat. Milers d'euros,Nou Barris,1,les Roquetes,127.6,50,196,2022
8,Usat. Milers d'euros,Nou Barris,1,Verdun,162.3,51,197,2022
8,Usat. Milers d'euros,Nou Barris,1,la Prosperitat,164.4,52,198,2022
8,Usat. Milers d'euros,Nou Barris,1,la Trinitat Nova,83.4,53,199,2022
8,Usat. Milers d'euros,Nou Barris,1,Torre Baró,--,54,200,2022
8,Usat. Milers d'euros,Nou Barris,1,Ciutat Meridiana,94.1,55,201,2022
8,Usat. Milers d'euros,Nou Barris,1,Vallbona,--,56,202,2022
9,Usat. Milers d'euros,Sant Andreu,1,la Trinitat Vella,108.3,57,203,2022
9,Usat. Milers d'euros,Sant Andreu,1,Baró de Viver,--,58,204,2022
9,Usat. Milers d'euros,Sant Andreu,1,el Bon Pastor,173.6,59,205,2022
9,Usat. Milers d'euros,Sant Andreu,1,Sant Andreu,258.0,60,206,2022
9,Usat. Milers d'euros,Sant Andreu,1,la Sagrera,249.5,61,207,2022
9,Usat. Milers d'euros,Sant Andreu,1,el Congrés i els Indians,288.8,62,208,2022
9,Usat. Milers d'euros,Sant Andreu,1,Navas,269.2,63,209,2022
10,Usat. Milers d'euros,Sant Martí,1,el Camp de l'Arpa del Clot,235.5,64,210,2022
10,Usat. Milers d'euros,Sant Martí,1,el Clot,425.1,65,211,2022
10,Usat. Milers d'euros,Sant Martí,1,el Parc i la Llacuna del Poblenou,335.9,66,212,2022
10,Usat. Milers d'euros,Sant Martí,1,la Vila Olímpica del Poblenou,446.6,67,213,2022
10,Usat. Milers d'euros,Sant Martí,1,el Poblenou,372.2,68,214,2022
10,Usat. Milers d'euros,Sant Martí,1,Diagonal Mar i el Front Marítim del Poblenou,637.7,69,215,2022
10,Usat. Milers d'euros,Sant Martí,1,el Besòs i el Maresme,193.7,70,216,2022
10,Usat. Milers d'euros,Sant Martí,1,Provençals del Poblenou,274.3,71,217,2022
10,Usat. Milers d'euros,Sant Martí,1,Sant Martí de Provençals,202.9,72,218,2022
10,Usat. Milers d'euros,Sant Martí,1,la Verneda i la Pau,160.7,73,219,2022
1,Total. Euros/m2 construït,Ciutat Vella,1,el Raval,3203.0,1,220,2022
1,Total. Euros/m2 construït,Ciutat Vella,1,el Barri Gòtic,4755.7,2,221,2022
1,Total. Euros/m2 construït,Ciutat Vella,1,la Barceloneta,4489.8,3,222,2022
1,Total. Euros/m2 construït,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",4739.0,4,223,2022
2,Total. Euros/m2 construït,Eixample,1,el Fort Pienc,4175.4,5,224,2022
2,Total. Euros/m2 construït,Eixample,1,la Sagrada Família,3987.4,6,225,2022
2,Total. Euros/m2 construït,Eixample,1,la Dreta de l'Eixample,6321.1,7,226,2022
2,Total. Euros/m2 construït,Eixample,1,l'Antiga Esquerra de l'Eixample,4933.4,8,227,2022
2,Total. Euros/m2 construït,Eixample,1,la Nova Esquerra de l'Eixample,4129.5,9,228,2022
2,Total. Euros/m2 construït,Eixample,1,Sant Antoni,4523.9,10,229,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,el Poble Sec,3733.8,11,230,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,la Marina del Prat Vermell,--,12,231,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,la Marina de Port,3451.5,13,232,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,la Font de la Guatlla,3198.8,14,233,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,Hostafrancs,3830.5,15,234,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,la Bordeta,3676.4,16,235,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,Sants - Badal,3632.0,17,236,2022
3,Total. Euros/m2 construït,Sants-Montjuïc,1,Sants,3824.8,18,237,2022
4,Total. Euros/m2 construït,Les Corts,1,les Corts,5005.7,19,238,2022
4,Total. Euros/m2 construït,Les Corts,1,la Maternitat i Sant Ramon,4091.8,20,239,2022
4,Total. Euros/m2 construït,Les Corts,1,Pedralbes,5078.9,21,240,2022
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",3747.0,22,241,2022
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sarrià,6042.0,23,242,2022
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,1,les Tres Torres,5799.4,24,243,2022
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,6148.2,25,244,2022
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,5895.0,26,245,2022
5,Total. Euros/m2 construït,Sarrià-Sant Gervasi,1,el Putxet i el Farró,5142.9,27,246,2022
6,Total. Euros/m2 construït,Gràcia,1,Vallcarca i els Penitents,4126.5,28,247,2022
6,Total. Euros/m2 construït,Gràcia,1,el Coll,2723.8,29,248,2022
6,Total. Euros/m2 construït,Gràcia,1,la Salut,3102.7,30,249,2022
6,Total. Euros/m2 construït,Gràcia,1,la Vila de Gràcia,4758.3,31,250,2022
6,Total. Euros/m2 construït,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,4323.7,32,251,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,el Baix Guinardó,3829.4,33,252,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,Can Baró,3310.8,34,253,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,el Guinardó,3492.7,35,254,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Font d'en Fargues,3568.7,36,255,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,el Carmel,2559.9,37,256,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Teixonera,3528.2,38,257,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,Sant Genís dels Agudells,2340.1,39,258,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,Montbau,2912.2,40,259,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Vall d'Hebron,4475.0,41,260,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,la Clota,--,42,261,2022
7,Total. Euros/m2 construït,Horta-Guinardó,1,Horta,3499.9,43,262,2022
8,Total. Euros/m2 construït,Nou Barris,1,Vilapicina i la Torre Llobeta,2908.0,44,263,2022
8,Total. Euros/m2 construït,Nou Barris,1,Porta,3459.2,45,264,2022
8,Total. Euros/m2 construït,Nou Barris,1,el Turó de la Peira,2086.6,46,265,2022
8,Total. Euros/m2 construït,Nou Barris,1,Can Peguera,--,47,266,2022
8,Total. Euros/m2 construït,Nou Barris,1,la Guineueta,2913.3,48,267,2022
8,Total. Euros/m2 construït,Nou Barris,1,Canyelles,2709.8,49,268,2022
8,Total. Euros/m2 construït,Nou Barris,1,les Roquetes,2168.7,50,269,2022
8,Total. Euros/m2 construït,Nou Barris,1,Verdun,2529.6,51,270,2022
8,Total. Euros/m2 construït,Nou Barris,1,la Prosperitat,2592.9,52,271,2022
8,Total. Euros/m2 construït,Nou Barris,1,la Trinitat Nova,1686.4,53,272,2022
8,Total. Euros/m2 construït,Nou Barris,1,Torre Baró,--,54,273,2022
8,Total. Euros/m2 construït,Nou Barris,1,Ciutat Meridiana,1550.9,55,274,2022
8,Total. Euros/m2 construït,Nou Barris,1,Vallbona,--,56,275,2022
9,Total. Euros/m2 construït,Sant Andreu,1,la Trinitat Vella,1865.2,57,276,2022
9,Total. Euros/m2 construït,Sant Andreu,1,Baró de Viver,--,58,277,2022
9,Total. Euros/m2 construït,Sant Andreu,1,el Bon Pastor,2346.6,59,278,2022
9,Total. Euros/m2 construït,Sant Andreu,1,Sant Andreu,3279.4,60,279,2022
9,Total. Euros/m2 construït,Sant Andreu,1,la Sagrera,3150.1,61,280,2022
9,Total. Euros/m2 construït,Sant Andreu,1,el Congrés i els Indians,4468.1,62,281,2022
9,Total. Euros/m2 construït,Sant Andreu,1,Navas,3545.5,63,282,2022
10,Total. Euros/m2 construït,Sant Martí,1,el Camp de l'Arpa del Clot,3617.7,64,283,2022
10,Total. Euros/m2 construït,Sant Martí,1,el Clot,5282.1,65,284,2022
10,Total. Euros/m2 construït,Sant Martí,1,el Parc i la Llacuna del Poblenou,5489.0,66,285,2022
10,Total. Euros/m2 construït,Sant Martí,1,la Vila Olímpica del Poblenou,4346.4,67,286,2022
10,Total. Euros/m2 construït,Sant Martí,1,el Poblenou,5229.7,68,287,2022
10,Total. Euros/m2 construït,Sant Martí,1,Diagonal Mar i el Front Marítim del Poblenou,6151.6,69,288,2022
10,Total. Euros/m2 construït,Sant Martí,1,el Besòs i el Maresme,3261.8,70,289,2022
10,Total. Euros/m2 construït,Sant Martí,1,Provençals del Poblenou,3467.6,71,290,2022
10,Total. Euros/m2 construït,Sant Martí,1,Sant Martí de Provençals,2870.6,72,291,2022
10,Total. Euros/m2 construït,Sant Martí,1,la Verneda i la Pau,2211.0,73,292,2022
1,Nou. Euros/m2 construït,Ciutat Vella,1,el Raval,--,1,293,2022
1,Nou. Euros/m2 construït,Ciutat Vella,1,el Barri Gòtic,10354.8,2,294,2022
1,Nou. Euros/m2 construït,Ciutat Vella,1,la Barceloneta,4563.8,3,295,2022
1,Nou. Euros/m2 construït,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",4318.3,4,296,2022
2,Nou. Euros/m2 construït,Eixample,1,el Fort Pienc,4638.3,5,297,2022
2,Nou. Euros/m2 construït,Eixample,1,la Sagrada Família,--,6,298,2022
2,Nou. Euros/m2 construït,Eixample,1,la Dreta de l'Eixample,8330.3,7,299,2022
2,Nou. Euros/m2 construït,Eixample,1,l'Antiga Esquerra de l'Eixample,5098.3,8,300,2022
2,Nou. Euros/m2 construït,Eixample,1,la Nova Esquerra de l'Eixample,4008.5,9,301,2022
2,Nou. Euros/m2 construït,Eixample,1,Sant Antoni,3478.9,10,302,2022
3,Nou. Euros/m2 construït,Sants-Montjuïc,1,el Poble Sec,--,11,303,2022
