Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Trimestre,Nom_Barri,Valor,Codi_Barri,_id,Any
9,Nou. Euros/m2 construït,Sant Andreu,1,el Congrés i els Indians,3709.7,62,104,2020
9,Nou. Euros/m2 construït,Sant Andreu,1,Navas,6216.4,63,105,2020
10,Nou. Euros/m2 construït,Sant Martí,1,el Camp de l'Arpa del Clot,5564.5,64,106,2020
10,Nou. Euros/m2 construït,Sant Martí,1,el Clot,4751.4,65,107,2020
10,Nou. Euros/m2 construït,Sant Martí,1,el Parc i la Llacuna del Poblenou,N/A,66,108,2020
10,Nou. Euros/m2 construït,Sant Martí,1,la Vila Olímpica del Poblenou,N/A,67,109,2020
10,Nou. Euros/m2 construït,Sant Martí,1,el Poblenou,6349.2,68,110,2020
10,Nou. Euros/m2 construït,Sant Martí,1,Diagonal Mar i el Front Marítim del Poblenou,N/A,69,111,2020
10,Nou. Euros/m2 construït,Sant Martí,1,el Besòs i el Maresme,3909.2,70,112,2020
10,Nou. Euros/m2 construït,Sant Martí,1,Provençals del Poblenou,3000.0,71,113,2020
10,Nou. Euros/m2 construït,Sant Martí,1,Sant Martí de Provençals,3921.6,72,114,2020
10,Nou. Euros/m2 construït,Sant Martí,1,la Verneda i la Pau,3039.1,73,115,2020
1,Usat. Euros/m2 construït,Ciutat Vella,1,el Raval,3777.5,1,116,2020
1,Usat. Euros/m2 construït,Ciutat Vella,1,el Barri Gòtic,3574.4,2,117,2020
1,Usat. Euros/m2 construït,Ciutat Vella,1,la Barceloneta,5094.8,3,118,2020
1,Usat. Euros/m2 construït,Ciutat Vella,1,"Sant Pere, Santa Caterina i la Ribera",4180.8,4,119,2020
2,Usat. Euros/m2 construït,Eixample,1,el Fort Pienc,4800.1,5,120,2020
2,Usat. Euros/m2 construït,Eixample,1,la Sagrada Família,4563.1,6,121,2020
2,Usat. Euros/m2 construït,Eixample,1,la Dreta de l'Eixample,4942.1,7,122,2020
2,Usat. Euros/m2 construït,Eixample,1,l'Antiga Esquerra de l'Eixample,4744.1,8,123,2020
2,Usat. Euros/m2 construït,Eixample,1,la Nova Esquerra de l'Eixample,5228.6,9,124,2020
2,Usat. Euros/m2 construït,Eixample,1,Sant Antoni,4056.6,10,125,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,el Poble Sec,4433.4,11,126,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,la Marina del Prat Vermell,2085.3,12,127,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,la Marina de Port,2807.7,13,128,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,la Font de la Guatlla,3907.8,14,129,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,Hostafrancs,4119.1,15,130,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,la Bordeta,3287.8,16,131,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,Sants - Badal,3588.4,17,132,2020
3,Usat. Euros/m2 construït,Sants-Montjuïc,1,Sants,4376.0,18,133,2020
4,Usat. Euros/m2 construït,Les Corts,1,les Corts,4778.2,19,134,2020
4,Usat. Euros/m2 construït,Les Corts,1,la Maternitat i Sant Ramon,4574.8,20,135,2020
4,Usat. Euros/m2 construït,Les Corts,1,Pedralbes,5819.3,21,136,2020
5,Usat. Euros/m2 construït,Sarrià-Sant Gervasi,1,"Vallvidrera, el Tibidabo i les Planes",1972.3,22,137,2020
5,Usat. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sarrià,6019.8,23,138,2020
5,Usat. Euros/m2 construït,Sarrià-Sant Gervasi,1,les Tres Torres,5797.0,24,139,2020
5,Usat. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sant Gervasi - la Bonanova,4794.3,25,140,2020
5,Usat. Euros/m2 construït,Sarrià-Sant Gervasi,1,Sant Gervasi - Galvany,5183.1,26,141,2020
5,Usat. Euros/m2 construït,Sarrià-Sant Gervasi,1,el Putxet i el Farró,5032.9,27,142,2020
6,Usat. Euros/m2 construït,Gràcia,1,Vallcarca i els Penitents,3896.8,28,143,2020
6,Usat. Euros/m2 construït,Gràcia,1,el Coll,3564.5,29,144,2020
6,Usat. Euros/m2 construït,Gràcia,1,la Salut,4481.5,30,145,2020
6,Usat. Euros/m2 construït,Gràcia,1,la Vila de Gràcia,4832.7,31,146,2020
6,Usat. Euros/m2 construït,Gràcia,1,el Camp d'en Grassot i Gràcia Nova,4238.3,32,147,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,el Baix Guinardó,3722.4,33,148,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,Can Baró,3304.5,34,149,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,el Guinardó,3547.9,35,150,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,la Font d'en Fargues,3392.6,36,151,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,el Carmel,2515.8,37,152,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,la Teixonera,2499.7,38,153,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,Sant Genís dels Agudells,2125.8,39,154,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,Montbau,2877.2,40,155,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,la Vall d'Hebron,2813.7,41,156,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,la Clota,N/A,42,157,2020
7,Usat. Euros/m2 construït,Horta-Guinardó,1,Horta,3318.1,43,158,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Vilapicina i la Torre Llobeta,3094.7,44,159,2020
8,Usat. Euros/m2 construït,Nou Barris,1,Porta,2713.2,45,160,2020
