Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Nom_Barri,Valor,Codi_Barri,_id,Any
5,Usat. Milers d'euros,Sarrià-Sant Gervasi,el Putxet i el Farró,527.7,27,173,2017
6,Usat. Milers d'euros,Gràcia,Vallcarca i els Penitents,334,28,174,2017
6,Usat. Milers d'euros,Gràcia,el Coll,199.3,29,175,2017
6,Usat. Milers d'euros,Gràcia,la Salut,312.3,30,176,2017
6,Usat. Milers d'euros,Gràcia,la Vila de Gràcia,429.8,31,177,2017
6,Usat. Milers d'euros,Gràcia,el Camp d'en Grassot i Gràcia Nova,362.6,32,178,2017
7,Usat. Milers d'euros,Horta-Guinardó,el Baix Guinardó,265.1,33,179,2017
7,Usat. Milers d'euros,Horta-Guinardó,Can Baró,221.3,34,180,2017
7,Usat. Milers d'euros,Horta-Guinardó,el Guinardó,201.8,35,181,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Font d'en Fargues,277.7,36,182,2017
7,Usat. Milers d'euros,Horta-Guinardó,el Carmel,146.9,37,183,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Teixonera,142.1,38,184,2017
7,Usat. Milers d'euros,Horta-Guinardó,Sant Genís dels Agudells,140.6,39,185,2017
7,Usat. Milers d'euros,Horta-Guinardó,Montbau,140.7,40,186,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Vall d'Hebron,224.9,41,187,2017
7,Usat. Milers d'euros,Horta-Guinardó,la Clota,NA,42,188,2017
7,Usat. Milers d'euros,Horta-Guinardó,Horta,189.6,43,189,2017
8,Usat. Milers d'euros,Nou Barris,Vilapicina i la Torre Llobeta,170.9,44,190,2017
8,Usat. Milers d'euros,Nou Barris,Porta,171,45,191,2017
8,Usat. Milers d'euros,Nou Barris,el Turó de la Peira,112.1,46,192,2017
8,Usat. Milers d'euros,Nou Barris,Can Peguera,114.4,47,193,2017
8,Usat. Milers d'euros,Nou Barris,la Guineueta,172.7,48,194,2017
8,Usat. Milers d'euros,Nou Barris,Canyelles,128.6,49,195,2017
8,Usat. Milers d'euros,Nou Barris,les Roquetes,106.7,50,196,2017
8,Usat. Milers d'euros,Nou Barris,Verdun,116.8,51,197,2017
8,Usat. Milers d'euros,Nou Barris,la Prosperitat,132,52,198,2017
8,Usat. Milers d'euros,Nou Barris,la Trinitat Nova,73.6,53,199,2017
8,Usat. Milers d'euros,Nou Barris,Torre Baró,97,54,200,2017
8,Usat. Milers d'euros,Nou Barris,Ciutat Meridiana,77.1,55,201,2017
8,Usat. Milers d'euros,Nou Barris,Vallbona,176.5,56,202,2017
9,Usat. Milers d'euros,Sant Andreu,la Trinitat Vella,142.3,57,203,2017
9,Usat. Milers d'euros,Sant Andreu,Baró de Viver,265,58,204,2017
9,Usat. Milers d'euros,Sant Andreu,el Bon Pastor,147.1,59,205,2017
9,Usat. Milers d'euros,Sant Andreu,Sant Andreu,212.1,60,206,2017
9,Usat. Milers d'euros,Sant Andreu,la Sagrera,231.6,61,207,2017
9,Usat. Milers d'euros,Sant Andreu,el Congrés i els Indians,186.9,62,208,2017
9,Usat. Milers d'euros,Sant Andreu,Navas,354.2,63,209,2017
10,Usat. Milers d'euros,Sant Martí,el Camp de l'Arpa del Clot,336.3,64,210,2017
10,Usat. Milers d'euros,Sant Martí,el Clot,322.9,65,211,2017
10,Usat. Milers d'euros,Sant Martí,el Parc i la Llacuna del Poblenou,286.3,66,212,2017
10,Usat. Milers d'euros,Sant Martí,la Vila Olímpica del Poblenou,492.1,67,213,2017
10,Usat. Milers d'euros,Sant Martí,el Poblenou,332.8,68,214,2017
10,Usat. Milers d'euros,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,680.2,69,215,2017
10,Usat. Milers d'euros,Sant Martí,el Besòs i el Maresme,221.8,70,216,2017
10,Usat. Milers d'euros,Sant Martí,Provençals del Poblenou,383.6,71,217,2017
